Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Chevrolet,Cobalt,2008,regular unleaded,148.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,24,1385,14410
Toyota,Matrix,2012,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,32,25,2031,19685
Subaru,Impreza,2016,regular unleaded,148.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr Hatchback,37,28,640,19795
Volkswagen,Vanagon,1991,regular unleaded,90.0,4.0,MANUAL,rear wheel drive,3.0,Large,Passenger Minivan,18,16,873,2000
Ford,F-150,2017,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,21,15,5657,56260
Volkswagen,Rabbit,2008,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29,22,873,17575
Bentley,Continental GTC,2013,premium unleaded (required),500.0,8.0,AUTOMATIC,all wheel drive,2.0,Midsize,Convertible,24,14,520,191400
BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,32,21,3916,76100
Maybach,57,2012,premium unleaded (required),543.0,12.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,16,10,67,379050
Ford,F-150 Heritage,2004,regular unleaded,202.0,6.0,MANUAL,four wheel drive,2.0,Large,Regular Cab Pickup,18,13,5657,26030
Rolls-Royce,Phantom Drophead Coupe,2015,premium unleaded (required),453.0,12.0,AUTOMATIC,rear wheel drive,2.0,Large,Convertible,19,11,86,479775
Chevrolet,Equinox,2015,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,29,20,1385,33670
Mitsubishi,Eclipse Spyder,2011,regular unleaded,162.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,27,20,436,27999
Ferrari,California T,2015,premium unleaded (required),553.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Convertible,23,16,2774,198973
Audi,Q5,2017,premium unleaded (required),272.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,26,18,3105,53200
Subaru,XV Crosstrek,2014,regular unleaded,160.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,33,29,640,29295
Hyundai,Genesis Coupe,2016,premium unleaded (recommended),348.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,24,17,1439,33750
Mitsubishi,Mighty Max Pickup,1994,regular unleaded,151.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,23,18,436,2000
Dodge,Dakota,2008,regular unleaded,210.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,1851,25245
Ford,Probe,1996,regular unleaded,164.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,24,18,5657,2000
Ford,Thunderbird,2005,premium unleaded (required),280.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,22,16,5657,38355
GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,17,13,549,28790
BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,29,20,3916,79100
GMC,Canyon,2016,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,38110
Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,32,24,873,30755
Suzuki,Esteem,2001,regular unleaded,122.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,32,24,481,14899
Nissan,Juke,2016,premium unleaded (recommended),188.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,34,28,2009,24830
Suzuki,Aerio,2006,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,28,22,481,15499
Mitsubishi,Mirage,2014,regular unleaded,74.0,3.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,42,34,436,14195
Nissan,Rogue,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,33,26,2009,23040
Mercedes-Benz,GLE-Class,2017,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,23,18,617,52000
Ford,Escape Hybrid,2011,regular unleaded,177.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,27,30,5657,32320
Mercedes-Benz,300-Class,1991,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,30,23,617,2000
Volkswagen,Tiguan,2016,premium unleaded (recommended),200.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,26,20,873,26865
Porsche,Macan,2017,premium unleaded (required),400.0,6.0,AUTOMATED_MANUAL,all wheel drive,4.0,Midsize,4dr SUV,23,17,1715,76000
Chevrolet,Captiva Sport,2014,flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,24360
Nissan,Frontier,2016,regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,18290
Chevrolet,Camaro,2017,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,25,16,1385,41905
Ford,Fusion Hybrid,2017,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,43,5657,31010
Porsche,Panamera,2015,premium unleaded (required),310.0,6.0,AUTOMATED_MANUAL,rear wheel drive,4.0,Large,Sedan,28,18,1715,78100
Nissan,Juke,2017,premium unleaded (recommended),188.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr Hatchback,30,26,2009,26940
Hyundai,Accent,2014,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,38,27,1439,14895
Suzuki,Kizashi,2011,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,30,23,481,25949
Nissan,370Z,2016,premium unleaded (required),332.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,26,19,2009,31290
Ferrari,Superamerica,2005,premium unleaded (required),532.0,12.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Convertible,16,9,2774,294080
BMW,X3,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,28,21,3916,38500
Lexus,RX 450h,2017,premium unleaded (recommended),308.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,31,454,56495
Maserati,Coupe,2006,premium unleaded (required),390.0,8.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,17,12,238,79900
GMC,Envoy XL,2005,regular unleaded,275.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,17,12,549,36060
Infiniti,G Coupe,2011,premium unleaded (recommended),330.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,25,17,190,43350
Rolls-Royce,Ghost,2012,premium unleaded (required),563.0,12.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,20,13,86,290000
Scion,FR-S,2015,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,29990
Chevrolet,Traverse,2015,regular unleaded,288.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,24,17,1385,41935
Volvo,850,1995,regular unleaded,168.0,5.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,26,18,870,2000
Infiniti,QX,2012,premium unleaded (recommended),400.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,20,14,190,60000
Volvo,XC60,2017,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,30,23,870,40950
Mercedes-Benz,S-Class,2017,premium unleaded (required),621.0,12.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,13,617,226900
Nissan,Juke,2015,premium unleaded (recommended),188.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,32,28,2009,25240
Volvo,740,1990,regular unleaded,153.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,26,19,870,2000
GMC,Sierra 1500 Classic,2007,regular unleaded,310.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,17,13,549,33785
Land Rover,Range Rover,2016,diesel,254.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,29,22,258,86450
Suzuki,Esteem,2002,regular unleaded,122.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,30,23,481,16799
Mercedes-Benz,E-Class,2017,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,26,18,617,60650
Toyota,Tundra,2015,flex-fuel (unleaded/E85),381.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,17,13,2031,35040
Land Rover,Range Rover Evoque,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,2dr SUV,29,21,258,45700
Maserati,Ghibli,2016,premium unleaded (required),404.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,24,16,238,78550
Chevrolet,Traverse,2016,regular unleaded,281.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,22,15,1385,38505
Mercedes-Benz,C-Class,2016,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,25,617,39275
Ford,Fusion,2015,regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,22,5657,27830
Pontiac,Montana,2005,regular unleaded,200.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Passenger Minivan,21,15,210,30210
Chrysler,300M,2002,premium unleaded (required),250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,24,16,1013,28540
Chevrolet,Malibu Maxx,2006,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr Hatchback,24,16,1385,23265
Chevrolet,TrailBlazer EXT,2004,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,18,13,1385,30070
Nissan,Pathfinder,2017,regular unleaded,284.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,4dr SUV,27,20,2009,32980
Buick,Electra,1990,regular unleaded,165.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25,16,155,2000
Ford,F-150,2015,regular unleaded,325.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,26,19,5657,41670
Acura,RDX,2016,premium unleaded (recommended),279.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,29,20,204,35370
Nissan,Altima,2016,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,39,27,2009,25460
